target,a,b,c,d
marIcI,awri,prAcI,pifgala,aSvayuj
Sukra,kAvya,kavi,prAcI,xivasa
xyowa,prakASa,miwra,AsAra,wigma
pANigqhIwI,xviwIyA,maNdala,SampA,aSvinI
paScAw,prawIcI,aSvayuj,avAc,kAxambinI
Kara,wigma,kumBasamBava,SraviRTA,OwwAnapAxi
kavoRNa,koRNa,maNdala,vajranirGoRa,avagrAha
XArAsampAwa,AsAra,surAcArya,wArA,apaxiSam
ciwraSiKaNdija,gIRpawi,SIwala,himasaMhawi,vAcaspawi
Salka,Sakala,meGamAlA,meGajyowi,SIwa
paScima,xakRiNa,xiS,sPUrjaWu,wIkRNa
OwwAnapAxi,Xruva,abja,upasUryaka,himAnI
qkRa,XiRNya,paScAw,vixiS,SIwa
xyuwi,BA,Xruva,wigma,aruNa
xaNda,mATara,pifgala,SakraXanus,kiraNa
canxrikA,kOmuxI,prAk,xaNda,hlAxinI
ASA,xiS,marIcikA,garjiwa,SIwala
avagraha,avagrAha,aruNa,wuhina,prAcI
SiKA,XAman,ciwraBAnu,rAXA,afgAraka
mqgaSiras,mqgaSIrRa,lAFCana,Sakala,garudAgraja
jada,suRIma,mEwrAvaruNi,jImUwa,SanEScara
pawafga,sUrya,paxa,Xruva,garjiwa
rOhiNeya,prApwarUpa,jyowsnA,prasAxa,paScima
swaniwa,meGanirGoRa,xakRiNa,maNdala,prAleya
prasannawA,prasAxa,mayUKa,SakraXanus,maNdala
XaniRTA,SraviRTA,kumBasamBava,maNdala,jyowsnA
vqRti,vawsa,mihikA,himAnI,SawahraxA
kUta,meRa,sPUrjaWu,kAxambinI,himasaMhawi
inxrAyuXa,SakraXanus,vawsa,maNdala,vqRa
cihna,nimiwwa,afka,kakuB,kAnwi
capalA,sOxAminI,mahIsuwa,prasAxa,uwwara
sEMhikeya,rAhu,pifgala,wiRya,jyowsnA
aruNa,sUrasUwa,marIcikA,wigma,hima
avAcI,avAc,Cavi,prakASa,wigma
ahan,Gasra,kUta,prasannawA,koRNa
nakRawreSa,hari,anUru,vqRti,xEwyaguru
rAXA,viSAKA,virocana,siXyA,vixiS
kAxambinI,kAlikA,ambukaNa,xyowa,manxoRNa
aSvinI,aSvayuj,sOmya,xyowa,uxak
maNdala,cakravAla,pariXi,vajranirGoRa,irammaxa
sOri,SanEScara,prAk,canxrikA,mqgawqRNA
maNdala,bimba,xaNda,sOri,uwwara
hima,wuhina,vyavaXA,himAnI,sOri
kumBasamBava,mEwrAvaruNi,prasAxa,aSvayuj,sOri
sPUrjaWu,vajranirGoRa,arcis,jyowsnA,maNdala
anwarXi,vyavaXA,sPUrjaWu,pAxa,paScAw
puRya,wiRyA,SakraXanus,kumBasamBava,OwwAnapAxi
aByanwara,anwarAla,kUta,rAjan,maNdala
mqgawqRNA,marIcikA,aBra,kAvya,vqRa
anuwwara,pUrva,nimiwwa,kAnwi,XiRNya
himAnI,himasaMhawi,wuhina,xyowa,vyaFjana
pakRAnwa,paFcaxaSI,prakqwi,sAyam,saw
nixAGa,URmAgama,pakRAnwa,anaya,praXAna
arXarAwra,niSIWa,uparakwa,piwqprasU,kOmuxI
nixAna,AxikAraNa,wapasya,niSAkara,arXarAwra
joRam,SAwa,graha,cEwrika,rAXa
uparAga,graha,pramANa,maXu,pralaya
niSAkara,rAkA,Suci,jyeRTa,Urja
praxoRa,rajanImuKa,praXAna,puNya,rajanImuKa
manas,ciwwa,vESAKa,prawyaya,kOmuxI
uRas,aharmuKa,prakqwi,jyowsnA,BAva
prakqwi,praXAna,niSIWa,uRNa,ASvayuja
janyu,janwu,upAhiwa,SrAvaNika,abxa
kalpAnwa,saMvarwa,ku,sammaxa,BAxra
xuriwa,kalmaRa,puRpasamaya,ASvina,niSA
viRuvaM,viRuvaw,kAraNa,wapasya,yAma
upaniRax,uRNa,jyowsnA,mArgaSIrRa,Xarma
kOmuxI,canxrikA,SyAmA,BAva,bAhula
mAGa,wapas,parvasanXi,piwqprasU,upAhiwa
sAmAnya,jAwa,xinAnwa,PAlgunika,pOrNamAsI
kArwikika,bAhula,naBas,PAlguna,abxa
kalAhIna,anumawi,kalpAnwa,pUrNimA,Sarax
puruRa,Awman,upaplava,nixAGa,uwpawwi
vESAKa,mAXava,pApa,pakRawi,iRa
iwi,kAraNa,saMvarwa,BAva,vyakwi
BAxrapaxa,naBasya,parvasanXi,nixAna,URmAgama
jyeRTa,Sukra,pOrNamAsI,wamisrA,upAhiwa
kRaNa,parvan,pakRawi,wERa,paFcaxaSI
kAlikovasWA,viSeRa,wamisrA,pOrNamAsI,pramaxa
uparakwa,upaplava,niSAkara,ASvina,jyeRTa
sanXyA,piwqprasU,prORTapaxa,ASvina,xivasa
vasanwa,suraBi,BAva,hAyana,jAwa
wapasya,PAlguna,mAXava,pakRawi,niSAkara
prahara,yAma,jAwi,nakwam,arXarAwra
kRapA,niSA,kArwikika,xina,pakRAnwa
pORa,sahasya,BAva,enas,uxXa
uxXa,macarcikA,wERa,ARADa,kAlikovasWA
sahas,mArga,sahasya,rAkA,praXAna
xina,Gasra,kRaya,pApa,BAva
ARADa,Suci,rajanImuKa,uxXa,kilbiRa
prawipax,parvasanXi,pORa,BAxra,mAGa
sawwva,wamas,kalyANa,puRpasamaya,paFcaxaSI
wamisrA,wAmasI,viRuvaw,wAmasI,sahasya
vyakwi,pqWagAwmawA,cEwrika,kalpAnwa,mafgala
prAvqR,varRA,ARADa,pOrNamAsI,ahan
saMvawsara,Sarax,viBAvarI,anumawi,uRNa
maXu,cEwrika,prahara,amAvAsyA,sAmAnya
samaya,wruti,URmaka,parvasanXi,rajas
sAyam,sAyam,vasanwa,Boga,prahara
upAhiwa,agnyuwpAwa,niSIWa,sahas,viRuvaM
aWa,SuBa,niyawi,naBasya,ASvina
pOrNamAsI,pUrNimA,Sukra,prakqwi,kalmaRa
janus,uxBava,kalya,sahasya,naBas
amAvasyA,xarSa,Baxra,rAkA,wamisrA
prawipaw,pakRawi,upaplava,wriyAmA,pqWagAwmawA
naBas,SrAvaNa,sva,prakANda,vyakwi
anaya,xEva,Suci,jAwi,xarSa
iRa,ASvayuja,Gasra,mAXava,ASvayuja
katu,katu,kokanaxacCavi,saMSaya,SyAva
xurganXa,pUwiganXi,SyAva,hariNa,XUmala
inxriya,Ka,praNiXAna,Brama,awinirhArin
iRtaganXa,suraBi,manaskAra,avaXAna,AmaganXi
viSaxa,arjuna,sanxeha,avyakwarAga,hariNa
harixrABa,pIwa,kapiSa,kEvalya,kaxru
AgU,aByupagama,pANdu,kirmIra,kapiSa
ahammawi,avixyA,avyakwarAga,saMvix,Uha
viRaya,gocara,samaya,avaxAwa,AmaganXi
cewanA,XI,amla,manaskAra,kaRAya
Brama,miWyAmawi,rAma,inxriya,Sukwa
samAXAna,praNiXAna,miWyAxqRti,pANdu,vimarSa
miWyAxqRti,nAswikawA,Uha,vyApAxa,nirhArin
piSafga,pifga,Svewarakwa,Amoxa,hariNa
Svewarakwa,pAtala,wuvara,aruNa,samaya
vyApAxa,xrohacinwana,rakwa,kokanaxacCavi,samaya
kAla,SyAma,safKyA,viRayI,wanwra
SAra,karbura,pANdu,Sabala,katu
avyakwarAga,aruNa,rAxXAnwa,wuvara,niScaya
hariwa,SyAma,piSafga,samAkarRin,safKyA
nUnam,hum,pANdu,manaskAra,avaXAna
XUsara,IRawpANdu,AmaganXi,viRaya,piSafga
Sreyas,mukwi,katu,kirmIra,nir
amla,Sukwa,vAsanA,kqRNalohiwa,pIwa
manaskAra,ciwwABoga,IRawpANdu,avaXAna,hariwa
pANdu,hariNa,gocara,rohiwa,pifgala
awinirhArin,Amoxa,avyakwarAga,ciwwABoga,arjuna
kqRNalohiwa,XUmala,sanxeha,saMvix,wuvara
lohiwa,rakwa,SyAma,viRaya,kaxru
sixXAnwa,wanwra,amla,katu,ciw
sanxeha,vicikiwsA,vAsanA,xurganXa,kadAra
carcA,safKyA,kqRNa,kaRAya,Amoxa
sarga,niScaya,awinirhArin,niScaya,akRara
BAvanA,vAsanA,wuvara,safKyA,visra
wuvara,kaRAya,pAlASa,nAswikawA,nir
nirhArin,samAkarRin,xurganXa,kapiSa,rohiwa
SoNa,kokanaxacCavi,pifga,manaskAra,aruNa
SyAva,kapiSa,kaRAya,avixyA,karbura
AmaganXi,visra,katu,nirhArin,Svewarakwa
prakvaNa,prakvANa,uccErGuRta,prakatoxiwa,irA
swowra,swava,hqxayafgama,idA,nisvAna
niRTura,paruRa,AnvIkRikI,samaya,GoRaNA
vivAxa,vyavahAra,apaBraMSa,gIwa,ABARaNa
samasyA,samAsArWA,upanyAsa,pAruRya,AkRepa
ofkAra,praNava,karRu,kvaNa,viroXokwi
lupwavarNapaxa,graswa,praWA,idA,lupwavarNapaxa
wvariwoxiwa,niraswa,GoRaNA,niRTura,kliRta
SlAGA,cAtu,aBIRafga,viwaWa,sawya
prahelikA,pravahlikA,prahelikA,prawiXvAna,cAtu
aBiRafga,parigraha,ninaxa,cAtu,kIrwi
grAmya,aSlIla,anuyoga,sanxeSavAc,prAxus
purAvqwwa,iwihAsa,prakvANa,prawiXvAna,aBiSApa
kUta,anqwa,niRTura,AnvIkRikI,AkroSa
muhurBARA,anulApa,prabanXakalpanA,vyavahAra,Ahvaya
anakRara,avAcya,nihnava,gAna,praNava
samaya,SapaWa,samaya,SlAGA,kliRta
XarmasaMhiwA,smqwi,graswa,aWo,virAva
uccErGuRta,GoRaNA,upanyAsa,prawiXvAna,uxAhAra
apaSabxa,apaBraMSa,muhurBARA,brAhmI,vispaRta
manohAri,SrAvya,varNa,vispaRta,apakAragir
sanxeSavAc,vAcika,vArwA,niraswa,cAtu
aBiXAna,nAmaXeya,Sloka,samAsArWA,sowprAsa
prawivAkya,uwwara,hqxya,safkula,supralApa
gIwa,gAna,upanyAsa,sanxeSavAc,uwwara
kliRta,safkula,prawivAkya,Barwsana,manohAri
kalakala,kolAhala,varNa,gAna,apaBraMSa
nirvAxa,kuwsA,aByAKyAna,vilApa,anakRara
vArwA,kila,Um,gowra,AnvIkRikI
sowprAsa,solluNTana,XarmasaMhiwA,parixevana,safgraha
AlApa,saMvix,mliRta,wvariwoxiwa,avAcya
AnvIkRikI,warkavixyA,samAsArWA,sawya,iwihAsa
AkRepa,aBiyoga,suvacana,SApa,aSlIla
wrayI,Sruwi,gAna,alIka,upanyAsa
prawiXvAna,prawiSruw,ukwi,warkavixyA,virAva
samajFA,yaSas,aBiSApa,avAcya,awivAxa
miWyABiSaMsana,aBiSApa,SlAGA,GoRa,ofkAra
pAruRya,awivAxa,uccErGuRta,uwwara,Baga
viroXokwi,vipralApa,supralApa,prawiXvAna,uccErGuRta
sawya,samyak,upanyAsa,miWyABiyoga,prakatoxiwa
upoxXAwa,uxAhAra,AmnAya,safgawa,prawiSruw
janaSruwi,vArwA,nihnava,vAc,warkavixyA
suvacana,supralApa,lupwavarNapaxa,safgraha,grAmya
nihnava,apalApa,uxAhAra,samAhqwi,praNava
Arava,nisvAna,prAxus,kalakala,nihnava
sarasvawI,gir,Baga,catu,aBiSApa
vilApa,parixevana,praWA,ABARaNa,pravqwwi
safgawa,hqxayafgama,miWyABiyoga,lupwavarNapaxa,suvacana
prabanXakalpanA,kaWA,aBiyoga,uxAhAra,grAmya
SiFjiwa,nikvaNa,anqwa,samAhqwi,apakAragir
AkAraNA,hUwi,upoxXAwa,apaSabxa,safgraha
mliRta,avispaRta,wvariwoxiwa,Sloka,suvacana
samAhqwi,safgraha,XarmasaMhiwA,miWyABiSaMsana,avispaRta
BARiwa,idA,apakAragir,pAruRya,Sapana
upanyAsa,vAfmuKa,janaSruwi,anulApa,parixevana
aByAKyAna,miWyABiyoga,nikvaNa,go,pravahlikA
api,nu,vipralApa,anakRara,lupwavarNapaxa
apakAragir,Barwsana,samAhqwi,smqwi,aBiyoga
IrRyA,akRAnwi,svapna,AXyAna,svexa
saMvega,samBrama,paScAwwApa,yaSaHpataha,SqfgAra
yaSaHpataha,DakkA,wanxrA,apaxeSa,XIra
bIBawsa,vikqwa,xeva,kranxana,lIlA
smqwi,cinwA,viprawIsAra,svarUpa,muraja
SraxXA,Baga,kUrxana,avajFA,DakkA
xamBa,kUta,unmAxa,Suc,romaharRaNa
kampa,vepaWu,xunxuBi,kqpA,lAsya
ahaha,vismaya,bawa,xrava,hArxa
muraja,mqxafga,vrIdA,vIrya,Sayana
helA,vilAsa,preman,ambA,ajjukA
pravAla,vINAxaNda,uwsava,viprawIsAra,ahaha
hAsa,hasa,BI,vipaFcI,manAk
pataha,Anaka,nAtya,nixAGa,viroXa
rOxra,ugra,ujjvala,vixveRa,amarRa
mAwq,ambA,BIwi,sKalana,KelA
BrukuMsa,BrakuMsa,anAxara,ujjvala,nAman
narwana,nqwya,smqwi,Anaka,nisarga
kranxiwa,kruRta,akRAnwi,vIra,svexa
ciwwasamunnawi,mAna,avamAnanA,lipsA,AkAragupwi
jqmBa,jqmBaNa,smqwi,Suci,xeva
prasevaka,kakuBa,lipsA,mAwq,akRAnwi
hArxa,praNaya,kakuBa,cinwA,vIrya
mAriRa,Arya,xeva,apaxeSa,prasevaka
kAlakriyAmAna,wAla,yaSaHpataha,lAsikA,xrava
vANinI,lAsikA,BrUkuMsa,Arya,avaRtamBa
Suci,ujjvala,vyaFjaka,naRtaceRtawA,mahas
damaru,maddu,Amoxa,laliwa,paScAwwApa
kumAra,BarwqxAraka,kAma,pralaya,IrRyA
wanxrI,wanxrA,vyAja,unmAxa,wiraskriyA
garva,ahafkAra,Brakuti,kampa,ciwwaviBrama
uwsava,kRaNa,Anaka,bIBawsa,vyaFjaka
romAFca,kaNtaka,narwakI,narman,vAxiwra
rifKaNa,sKalana,yaSaHpataha,uwsAhavarXana,vipralamBa
BAva,sarga,wiwikRA,niRTA,cinwA
aXyavasAya,uwsAha,gaNikA,nihnava,AXyAna
wOryawrika,nAtya,BErava,rOxra,vINA
xevana,parIhAsa,Awoxya,bawa,samBrama
avajFA,avahelana,paNava,uwkalikA,pariBava
uwkaNTA,uwkalikA,awiSakwiBAj,ajjukA,afgahAra
SqfgAra,rOxra,nirvahaNa,manAk,kOwuka
Bayafkara,BayAnaka,pataha,gaNikA,vilAsa
lakRya,vyAja,IrRyA,ajjukA,aXyavasAya
gaNikA,ajjukA,sKalana,mAwq,jqmBaNa
Brakuti,BrUkuti,bibboka,prasevaka,preman
Suc,Soka,romaharRaNa,mAwq,sAXvasa
vEra,vixveRa,ajjukA,BarwqxAraka,kaNtaka
vipaFcI,vallakI,AScarya,narwakI,xeva
upAXi,XarmacinwA,xara,AkAragupwi,Aswu
afgahAra,afgavikRepa,vINA,sKalana,Soka
kUrxana,KelA,pramAxa,samBrama,AkAragupwi
karuNA,anukroSa,XarmacinwA,GqNA,axBuwa
xunxuBi,Anaka,hAva,kumAra,kapata
vicakRaNa,paNdiwa,BrukuMsa,kopa,aBinaya
rut,kruX,vANinI,BattAraka,pralaya
ciwwaviBrama,unmAxa,BrUkuti,BrukuMsa,awiSakwiBAj
BI,wrAsa,sneha,anukroSa,muraja
anuwApa,paScAwwApa,mqxafga,gahvara,nAtya
svapna,saMveSa,kAma,vINAxaNda,GqNA
vIrya,awiSakwiBAj,wanxrA,Baya,wiwikRA
smiwa,manAk,Anaka,sarga,anavaXAnawA
niRTA,nirvahaNa,BarwqxAraka,preman,Soka
xeva,BattAraka,anuSaya,KelA,wiwikRA
naRtaceRtawA,pralaya,cinwA,vIra,aXyavasAya
anavaXAnawA,pramAxa,nirvahaNa,gaNikA,mAwq
nixAGa,svexa,bIBawsa,XarmacinwA,pramAxa
Awoxya,vAxiwra,vilAsa,uwkalikA,avaRtamBa
vyaFjaka,aBinaya,JarJara,uwkaNTA,pataha
avahiwWA,AkAragupwi,wAla,narwana,damaru
wrapA,lajjA,pralaya,XarmacinwA,uwsava
kOwUhala,kuwuka,kAma,avajFA,vipaFcI
vIra,uwsAhavarXana,kampa,gaNikA,Gora
kRAnwi,kRamA,kRamA,apaxeSa,hAva
visaMvAxa,vipralamBa,mAriRa,XarmacinwA,diNdima
avalepa,smaya,mAna,ajjukA,aBinaya
wIkRNa,viRa,vawsanABa,aXoBuvana,avata
viRavExya,jAfgulika,PaNA,mAluXAna,SArvara
ahiwuNdika,kOSika,rasAwala,nAga,gonasa
Sayu,vAhasa,cakRuHSravas,garwa,vivara
ananwa,SeRa,xAraxa,viRavExya,wIkRNa
kuhara,SvaBra,avata,XvAnwa,Cixra
gonasa,wiliwsa,viRa,gaja,Sayu
BogavawI,gaja,kAxraveya,duNduBa,xarvIkara
SArvara,anXawamasa,rasAwala,jalavyAla,SArvara
jalavyAla,alagarxa,praxIpana,rasAwala,jalavyAla
vyAda,vyAla,vivara,wIkRNa,mukwakaFcuka
nirmukwa,mukwakaFcuka,vAhasa,wiliwsa,mAwulAhi
garwa,avata,jAfgulika,sPatA,Sayu
brahmapuwra,kAkola,vAhasa,vAsuki,pannaga
sarparAja,vAsuki,jAfgulika,xara,SArvara
sPatA,PaNA,avata,ahiwuNdika,XvAnwa
wimira,anXa,mAwulAhi,balisaxman,rAjila
mAwulAhi,mAluXAna,nirmoka,PaNin,ahiwuNdika
nirmoka,kaFcuka,vyAlagrAhin,sPatA,vAsuki
rAjila,duNduBa,vAsuki,BogaXara,anXawamasa
rasAwala,nAgaloka,kAkola,duNduBa,jAfgulika
aGa,prasUwija,nAraka,safGAwa,vyalIka
naraka,xurgawi,avIci,xurgawi,yAwanA
wIvravexanA,kAraNA,viRti,naraka,prewa
nAraka,prewa,prewa,kAraNA,naraka
viRti,AjU,wIvravexanA,niraya,viRti
wapana,mahArOrava,safGAwa,prewa,niraya
nirqwi,alakRmI,prewa,viRti,nirqwi
prasanna,AcCa,sOganXika,karawoyA,Suwuxri
rakwapA,jalOkA,jalAXAra,kRIroxa,kUpa
kRuxrANdamawsyasafGAwa,powAXAna,agAXa,puNdarIka,powavAha
jalanIlI,SEvAla,mqNAla,pqRawa,putaBexa
paviwraka,caNasUwra,karawoyA,karkataka,guNavqkRaka
gamBIra,nimna,niyAmaka,gaNdUpaxI,svawas
sEkawa,sikawAmaya,goXikA,vAriparNI,caNasUwra
puNdarIka,siwAmBoja,nIlAmbujanman,cilicima,AhAva
pqRaw,ambukaNa,jalocCvAsa,putaBexa,pariKA
sara,kAsAra,nIlAmbujanman,mqNAla,yAxas
jalASaya,jalAXAra,putaBexa,powavAha,awinu
cilicima,nalamIna,warapaNya,karahAta,nalamIna
sinXu,BogavawI,uxra,sinXu,nimna
karNaXAra,nAvika,aKAwa,sarasvaw,vAriparNI
powavAha,niyAmaka,inxIvara,varAtaka,jalASaya
yamunA,Samanasvasq,xurnAman,kumBikA,roXa
guNavqkRaka,kUpaka,arvAk,kacCapI,kuvalaya
kumBikA,vAriparNI,sOganXika,duli,powavaNij
agAXa,awalasparSa,Awara,awinu,samBexa
aBri,kARTakuxxAla,yAxaHpawi,kumBikA,putaBexa
prahi,kUpa,vixAraka,abja,ambusaraNa
navaxala,saMvarwikA,SambUka,kiFculaka,awIwanOka
jalaSukwi,SambUka,SEvala,kUpa,xevaKAwaka
Brama,jalanirgama,nAla,powa,nOkAxaNda
SafKa,kambu,sahasraxaMRtra,SoNa,pafka
ammaya,Apya,powAXAna,saxAnIrA,SafKanaKa
KAwa,puRkariNI,kallola,xevaKAwaka,mqNAla
somoxBavA,revA,grAha,uxaXi,hiraNyavAha
mIna,mawsya,jalaSukwi,Sawaxru,nihAkA
wrikA,nemi,uxra,guNavqkRaka,xurnAman
saxAnIrA,karawoyA,hiraNyavAha,vAriparNI,kAsAra
anwarIpa,xvIpa,waraNi,nOkAxaNda,kallola
Suwuxri,Sawaxru,SiSuka,kuvalaya,saMvarwikA
anacCa,Avila,sAMyAwrika,siwAmBoja,kRuxrANdamawsyasafGAwa
grAha,avahAra,karNaXAra,kRepaNI,arvAk
nIlAmbujanman,inxIvara,ambukaNa,sEkawa,sArasa
SafKanaKa,kRuxraSafKa,kulIra,secana,SiPAkanxa
Awara,warapaNya,kuveNI,wata,Safku
secana,sekapAwra,agAXa,SiSumAra,kRIroxa
uwpala,kuvalaya,AvAla,kesara,AnAya
nO,wari,agAXa,kuSeSaya,sikawAmaya
jAla,AnAya,bIjakoSa,AcCa,pariKA
uwkalikA,kallola,mahowpala,kRIroxa,kRIra
meGapuRpa,ap,Sukwi,hallaka,kumBikA
wadAga,paxmAkara,kumuxinI,sekapAwra,SafKanaKa
nOkAxaNda,kRepaNI,xurnAman,kulIra,sOganXika
kumBIra,nakra,meKalakanyakA,niyAmaka,kamaTI
Sukwi,mukwAsPota,aKAwa,bAhuxA,mahowpala
AvAla,AlavAla,goXikA,makara,lavaNoxa
kulIra,karkataka,xIrGikA,powavaNij,vAriparNI
varRABU,xarxura,SambUka,sEwavAhinI,kumBikA
rawnAkara,samuxra,sEwavAhinI,yamunA,samuxra
xevaKAwaka,aKAwa,kallola,kumBIra,powavAha
karNikA,bIjakoSa,kRIroxa,gaNdUpaxa,meKalakanyakA
hallaka,rakwasanXyaka,SiSumAra,kumuxinI,nalamIna
kumuxinI,kumuxvawI,kola,Apya,bisinI
powavaNij,sAMyAwrika,xIrGikA,wIrWa,srowas
vipAS,vipASA,goXikA,wadAga,nAvika
kumuxa,kErava,waraNi,lavaNoxa,kaluRa
makara,SiSumAra,sarasvaw,AhAva,kuSeSaya
Bafga,vIci,kUpa,sEkawa,sahasrapawra
xurnAman,xIrGakoSikA,vipAS,roXa,kamaTa
xIrGikA,vApI,awinu,ambukaNa,kenipAwaka
wata,wIra,mqNAla,kumBikA,udupa
samBexa,sinXusafgama,parIvAha,SambUka,kRIroxa
kUpaka,vixAraka,sariwpawi,jala,varAtaka
karxama,niRaxvara,xIrGakoSikA,vApI,akUpAra
nipAna,wIrWa,wrikA,sarasI,jalocCvAsa
paxminImuKA,nalinI,SafKa,arvAk,narmaxA
BekI,varRABvI,secana,hallaka,guNavqkRaka
lavaNoxa,kRIroxa,SafKa,nAla,kallola
mqNAla,bisa,SiPAkanxa,jalAXAra,caNasUwra
kamala,amBoruha,powavAha,karawoyA,kacCapI
sinXu,sarasvaw,payas,nAla,saxAnIrA
ulUpin,SiSuka,cilicima,kamaTI,warafga
kokanaxa,rakwowpala,kARTakuxxAla,meKalakanyakA,rakwapA
SiPAkanxa,karahAta,secana,Brama,avahAra
udupa,plava,prasanna,kulIra,wadAga
awinu,awIwanOka,kamaTI,pqRaw,Apya
kamaTI,duli,kenipAwaka,sikawAmaya,kUla
bAhuxA,sEwavAhinI,nOkAxaNda,XIvara,vipruR
alpasaras,palvala,varRABU,pqWuroman,uxapAna
parIvAha,jalocCvAsa,roXa,sara,wadAga
kamaTa,kacCapa,nAla,kuvalaya,hallaka
pAra,para,nemi,parIvAha,AcCa
pariKA,Keya,xASa,inxIvara,secana
mawsyAXAnI,kuveNI,awinu,vIci,powa
nAla,nAla,powavAha,SambUka,SEvala
kiFculaka,gaNdUpaxa,jalajanwu,sEwavAhinI,nakra
kenipAwaka,ariwra,karahAta,kuvalaya,rakwapA
arvAk,avAra,sekapAwra,inxIvara,hallaka
nihAkA,goXikA,vIci,kRuxraSafKa,kAlinxI
wripaWagA,jahnuwanayA,hallaka,prasanna,nipAna
