kapiH,yatiH,giriH,kaviH,asiH,agniH,raviH,fziH,ariH,vyADiH,niDiH,alIH,pratiniDiH,jalaDiH,BUpatiH,nfpatiH,narapatiH,brahmarziH,vanaspatiH,upADiH,aYjaliH,atiTiH,rASiH,sAraTiH
tizWasi,carvasi,Sasasi,SIlasi,patasi,rajasi,cyavasi,Dvarasi,SoBasi,smarasi,DyAyasi,Scotasi,gUhasi,lAYCasi,lazasi,kanasi,KAdasi,sApayasi,pacasi,hrasasi,rakzasi,indasi,galasi,vahasi
tizWaTaH,carvaTaH,SasaTaH,SIlaTaH,pataTaH,rajaTaH,cyavaTaH,DvaraTaH,SoBaTaH,smaraTaH,DyAyaTaH,ScotaTaH,gUhaTaH,lAYCaTaH,lazaTaH,kanaTaH,KAdaTaH,sApayaTaH,pacaTaH,hrasaTaH,rakzaTaH,indaTaH,galaTaH,vahaTaH
tizWaTa,carvaTa,SasaTa,SIlaTa,pataTa,rajaTa,cyavaTa,DvaraTa,SoBaTa,smaraTa,DyAyaTa,ScotaTa,gUhaTa,lAYCaTa,lazaTa,kanaTa,KAdaTa,sApayaTa,pacaTa,hrasaTa,rakzaTa,indaTa,galaTa,vahaTa
tizWati,carvati,Sasati,SIlati,patati,rajati,cyavati,Dvarati,SoBati,smarati,DyAyati,Scotati,gUhati,lAYCati,lazati,kanati,KAdati,sApayati,pacati,hrasati,rakzati,indati,galati,vahati
tizWataH,carvataH,SasataH,SIlataH,patataH,rajataH,cyavataH,DvarataH,SoBataH,smarataH,DyAyataH,ScotataH,gUhataH,lAYCataH,lazataH,kanataH,KAdataH,sApayataH,pacataH,hrasataH,rakzataH,indataH,galataH,vahataH
tizWanti,carvanti,Sasanti,SIlanti,patanti,rajanti,cyavanti,Dvaranti,SoBanti,smaranti,DyAyanti,Scotanti,gUhanti,lAYCanti,lazanti,kananti,KAdanti,sApayanti,pacanti,hrasanti,rakzanti,indanti,galanti,vahanti
atizWam,acarvam,aSasam,aSIlam,apatam,arajam,acyavam,aDvaram,aSoBam,asmaram,aDyAyam,aScotam,agUham,alAYCam,alazam,akanam,aKAdam,asapam,apacam,ahrasam,arakzam,Endam,agalam,avaham
atizWAva,acarvAva,aSasAva,aSIlAva,apatAva,arajAva,acyavAva,aDvarAva,aSoBAva,asmarAva,aDyAyAva,aScotAva,agUhAva,alAYCAva,alazAva,akanAva,aKAdAva,asapAva,apacAva,ahrasAva,arakzAva,EndAva,agalAva,avahAva
atizWAma,acarvAma,aSasAma,aSIlAma,apatAma,arajAma,acyavAma,aDvarAma,aSoBAma,asmarAma,aDyAyAma,aScotAma,agUhAma,alAYCAma,alazAma,akanAma,aKAdAma,asapAma,apacAma,ahrasAma,arakzAma,EndAma,agalAma,avahAma
atizWaH,acarvaH,aSasaH,aSIlaH,apataH,arajaH,acyavaH,aDvaraH,aSoBaH,asmaraH,aDyAyaH,aScotaH,agUhaH,alAYCaH,alazaH,akanaH,aKAdaH,asapaH,apacaH,ahrasaH,arakzaH,EndaH,agalaH,avahaH
atizWatam,acarvatam,aSasatam,aSIlatam,apatatam,arajatam,acyavatam,aDvaratam,aSoBatam,asmaratam,aDyAyatam,aScotatam,agUhatam,alAYCatam,alazatam,akanatam,aKAdatam,asapatam,apacatam,ahrasatam,arakzatam,Endatam,agalatam,avahatam
atizWata,acarvata,aSasata,aSIlata,apatata,arajata,acyavata,aDvarata,aSoBata,asmarata,aDyAyata,aScotata,agUhata,alAYCata,alazata,akanata,aKAdata,asapata,apacata,ahrasata,arakzata,Endata,agalata,avahata
atizWat,acarvat,aSasat,aSIlat,apatat,arajat,acyavat,aDvarat,aSoBat,asmarat,aDyAyat,aScotat,agUhat,alAYCat,alazat,akanat,aKAdat,asapat,apacat,ahrasat,arakzat,Endat,agalat,avahat
atizWatAm,acarvatAm,aSasatAm,aSIlatAm,apatatAm,arajatAm,acyavatAm,aDvaratAm,aSoBatAm,asmaratAm,aDyAyatAm,aScotatAm,agUhatAm,alAYCatAm,alazatAm,akanatAm,aKAdatAm,asapatAm,apacatAm,ahrasatAm,arakzatAm,EndatAm,agalatAm,avahatAm
atizWan,acarvan,aSasan,aSIlan,apatan,arajan,acyavan,aDvaran,aSoBan,asmaran,aDyAyan,aScotan,agUhan,alAYCan,alazan,akanan,aKAdan,asapan,apacan,ahrasan,arakzan,Endan,agalan,avahan
tizWAni,carvARi,SasAni,SIlAni,patAni,rajAni,cyavAni,DvarARi,SoBAni,smarARi,DyAyAni,ScotAni,gUhAni,lAYCAni,lazARi,kanAni,KAdAni,sapAni,pacAni,hrasAni,rakzARi,indAni,galAni,vahAni
tizWAva,carvAva,SasAva,SIlAva,patAva,rajAva,cyavAva,DvarAva,SoBAva,smarAva,DyAyAva,ScotAva,gUhAva,lAYCAva,lazAva,kanAva,KAdAva,sapAva,pacAva,hrasAva,rakzAva,indAva,galAva,vahAva
tizWAma,carvAma,SasAma,SIlAma,patAma,rajAma,cyavAma,DvarAma,SoBAma,smarAma,DyAyAma,ScotAma,gUhAma,lAYCAma,lazAma,kanAma,KAdAma,sapAma,pacAma,hrasAma,rakzAma,indAma,galAma,vahAma
tizWa,carva,Sasa,SIla,pata,raja,cyava,Dvara,SoBa,smara,DyAya,Scota,gUha,lAYCa,laza,kana,KAda,sapa,paca,hrasa,rakza,inda,gala,vaha
tizWatam,carvatam,Sasatam,SIlatam,patatam,rajatam,cyavatam,Dvaratam,SoBatam,smaratam,DyAyatam,Scotatam,gUhatam,lAYCatam,lazatam,kanatam,KAdatam,sapatam,pacatam,hrasatam,rakzatam,indatam,galatam,vahatam
tizWata,carvata,Sasata,SIlata,patata,rajata,cyavata,Dvarata,SoBata,smarata,DyAyata,Scotata,gUhata,lAYCata,lazata,kanata,KAdata,sapata,pacata,hrasata,rakzata,indata,galata,vahata
tizWatu,carvatu,Sasatu,SIlatu,patatu,rajatu,cyavatu,Dvaratu,SoBatu,smaratu,DyAyatu,Scotatu,gUhatu,lAYCatu,lazatu,kanatu,KAdatu,sapatu,pacatu,hrasatu,rakzatu,indatu,galatu,vahatu
tizWatAm,carvatAm,SasatAm,SIlatAm,patatAm,rajatAm,cyavatAm,DvaratAm,SoBatAm,smaratAm,DyAyatAm,ScotatAm,gUhatAm,lAYCatAm,lazatAm,kanatAm,KAdatAm,sapatAm,pacatAm,hrasatAm,rakzatAm,indatAm,galatAm,vahatAm
tizWantu,carvantu,Sasantu,SIlantu,patantu,rajantu,cyavantu,Dvarantu,SoBantu,smarantu,DyAyantu,Scotantu,gUhantu,lAYCantu,lazantu,kanantu,KAdantu,sapantu,pacantu,hrasantu,rakzantu,indantu,galantu,vahantu
tizWatum,carvitum,Sasitum,SIlitum,patantum,raNktum,cyotum,Dvarantu,SoBitum,smarantum,DyAyantum,Scotantum,gUhantum,lAYCitum,lazitum,kanantum,KAditum,sapantum,pacantum,hrasitum,rakzantum,inditum,galitum,vahitum
tizWitvA,carvitvA,SastvA,SIltvA,patantvA,raktvA,cyutvA,DvarantvA,SoBitvA,smarantvA,DyAyantvA,ScotantvA,gUhitvA,lAYCitvA,lazitvA,kanantvA,KAditvA,sapintvA,pacintvA,hrasitvA,rakzitvA,inditvA,galitvA,UQvA
